Datetime,J_mm,rain,PB_Q,PB_QC1,PB_QC2,PB_QC3,PET,ET
2015-01-06,3.556,1.0,0.670070845355,0.0,0.0,1.0,0.388868090491,0.287424767624
2015-01-07,0.0,1.0,0.939018763809,0.0,0.0,96.0,0.418075121853,0.309012612983
2015-01-08,0.0,0.0,1.47940590533,0.0,0.0,96.0,0.469013839828,0.346663038757
2015-01-09,1.27,1.0,2.0197930467,0.0,0.0,96.0,0.912774112266,0.674660363056
2015-01-10,0.0,1.0,2.56018018822,0.0,0.0,96.0,0.468958516159,0.346622147275
2015-01-11,0.254,1.0,3.10056732974,0.0,0.0,95.0,0.6088349317,0.450009252609
2015-01-12,13.716,1.0,1.67227893379,0.0,0.0,0.0,0.324253578487,0.239666127736
2015-01-13,0.508,1.0,0.685833853141,0.0,0.0,0.0,0.564230180533,0.417040463057
2015-01-14,0.0,1.0,0.597095069735,0.0,0.0,0.0,0.411355378121,0.304045836772
2015-01-15,0.254,1.0,0.594343479552,0.0,0.0,0.0,0.556256723028,0.411147027142
2015-01-16,0.254,1.0,0.603224476738,0.0,1.0,0.0,0.624355845596,0.461481253472
2015-01-17,0.0,1.0,0.926947262723,0.0,95.0,0.0,0.497278392419,0.367554268094
2015-01-18,0.0,0.0,0.593655582006,0.0,0.0,0.0,0.204229972207,0.150952864838
2015-01-19,0.254,1.0,0.584025016365,0.0,0.0,0.0,0.633473730418,0.468220571998
2015-01-20,0.0,1.0,0.591591889369,0.0,0.0,0.0,0.520168619426,0.384473162545
2015-01-21,1.524,1.0,0.594343479552,0.0,0.0,0.0,0.250275327318,0.184986450561
2015-01-22,2.032,1.0,0.611540918197,0.0,0.0,0.0,0.436707846845,0.32278465235
2015-01-23,7.112,1.0,0.630114151933,0.0,0.0,0.0,0.349386675151,0.25824279845
2015-01-24,16.764,1.0,1.7025464258,0.0,0.0,0.0,0.38300550689,0.283091545716
2015-01-25,1.016,1.0,0.737426169074,0.0,0.0,0.0,0.536447086,0.396505094675
2015-01-26,0.762,1.0,0.69890390651,0.0,0.0,0.0,0.248444169248,0.18363298342
2015-01-27,3.048,1.0,0.676895475462,0.0,0.0,1.0,0.518097655478,0.382942447256
2015-01-28,0.0,1.0,0.680769725722,0.0,0.0,96.0,0.721248333534,0.533097571477
2015-01-29,0.0,0.0,0.720310248352,0.0,0.0,96.0,0.388863348919,0.287421262978
2015-01-30,0.254,1.0,0.759850770983,0.0,0.0,96.0,0.593769601683,0.438873988274
2015-01-31,0.0,0.0,0.799391293613,0.0,0.0,96.0,0.540792594414,0.399716998086
2015-02-01,0.762,1.0,0.838931816244,0.0,0.0,95.0,0.430136102482,0.317927267179
2015-02-02,13.208,1.0,1.14741167622,0.0,0.0,1.0,0.391198647323,0.289147356266
2015-02-03,0.0,1.0,0.653585616688,0.0,0.0,96.0,0.548041924791,0.40507520862
2015-02-04,1.016,1.0,0.640405442478,0.0,0.0,96.0,0.758993524234,0.560996241825
2015-02-05,0.0,1.0,0.627225268268,0.0,0.0,96.0,0.547742868612,0.404854166691
2015-02-06,0.0,0.0,0.614045094058,0.0,0.0,96.0,0.552166402272,0.408123741042
2015-02-07,0.0,0.0,0.600864919848,0.0,0.0,95.0,0.777146966842,0.574414028347
2015-02-08,0.0,0.0,0.628738356841,0.0,0.0,0.0,0.779974622344,0.576504038418
2015-02-09,0.0,0.0,0.647999488123,0.0,0.0,0.0,0.315143270773,0.232932409692
2015-02-10,1.27,1.0,0.641120512665,0.0,0.0,0.0,0.318665877271,0.235536080136
2015-02-11,1.27,1.0,0.590903991823,0.0,0.0,0.0,0.631051773834,0.466430426894
2015-02-12,0.0,1.0,0.594345784628,0.0,0.0,1.0,0.608412441612,0.449696976755
2015-02-13,0.0,0.0,0.605297113213,0.0,0.0,96.0,0.443834336707,0.328052067555
2015-02-14,0.0,0.0,0.626540524045,0.0,0.0,96.0,0.361113198341,0.26691024452
2015-02-15,0.0,0.0,0.647783934739,0.0,0.0,96.0,0.348849742966,0.257845934803
2015-02-16,0.508,1.0,0.669027345571,0.0,0.0,96.0,0.218790857033,0.161715277697
2015-02-17,7.366,1.0,0.690270756334,0.0,0.0,96.0,0.340624901356,0.251766692905
2015-02-18,0.0,0.0,0.711514167166,0.0,0.0,96.0,0.301614002018,0.222932497066
2015-02-19,0.0,0.0,0.73275757786,0.0,0.0,96.0,0.296972983604,0.21950217282
2015-02-20,0.0,0.0,0.754000988692,0.0,0.0,96.0,0.290286767249,0.21456017776
