Date,P_mm,Eta-cal_mm,Q_mm
11/19/11,0,0.44950047,1.075241721
11/20/11,0,0.32051115,0.996013575
11/21/11,0,0.190308373,0.916541753
11/22/11,0,0.096243345,0.870437044
11/23/11,5.02,1.218234831,0.87692007
11/24/11,3.71,1.208007028,1.060478841
11/25/11,2.47,1.551016382,1.125403523
11/26/11,2.08,1.789519674,1.067518182
11/27/11,19.65,2.439262928,2.383700503
11/28/11,11.46,2.019786078,9.478970711
11/29/11,17.44,1.63279213,13.92250264
11/30/11,0.02,2.456048912,8.549786331
12/1/11,1.2,1.518366913,5.479748886
12/2/11,0.55,1.125503794,4.393164559
12/3/11,0,1.050744138,2.855241631
12/4/11,0.18,0.947807883,2.106017826
12/5/11,1.33,0.750725358,1.840516049
12/6/11,0.19,0.412039246,1.840847591
12/7/11,1.14,0.714362657,1.686796556
12/8/11,1.1,0.888817957,1.595436539
12/9/11,3.42,1.12577645,2.292868538
12/10/11,6.5,1.831773893,1.601902622
12/11/11,1.31,1.908183713,3.737530062
12/12/11,4.77,1.436474469,2.550198152
12/13/11,9.55,1.215843545,6.457657987
12/14/11,9.68,1.489823196,9.521345183
12/15/11,3.34,1.416251718,7.891943007
12/16/11,1.26,1.655836354,7.113945473
12/17/11,7.35,1.344358776,7.857022963
12/18/11,5.62,1.592328942,7.99962587
12/19/11,3.8,1.365478282,7.334117768
12/20/11,5.56,1.506435927,7.452737738
12/21/11,3.16,0.792848437,8.764540035
12/22/11,0.89,0.829163183,6.904029571
12/23/11,1.91,3.091504221,5.424234852
12/24/11,11.04,1.972270616,6.075236712
12/25/11,2.19,1.189366762,9.085955562
12/26/11,1.95,1.75848898,6.388706644
12/27/11,9.22,1.251558888,9.043202566
12/28/11,6.7,1.642509688,10.54089961
12/29/11,2.62,2.324709373,8.032023071
12/30/11,5.93,2.567781509,7.533834372
12/31/11,0.13,1.688996285,6.397871286
1/1/12,0,1.170831799,4.824617958
1/2/12,3.87,1.376422142,3.871789086
1/3/12,9.95,1.981554039,6.829127002
1/4/12,6.96,2.0246923,7.509368565
1/5/12,14.98,1.697914732,9.929470373
1/6/12,9.18,2.605138075,12.94459923
1/7/12,13.35,2.235232264,13.15357589
1/8/12,5.31,1.941177541,11.07395337
1/9/12,3.77,2.130986984,9.394302382
1/10/12,3.71,2.31403352,7.412451114
1/11/12,1.68,1.673443262,6.739143044
1/12/12,1.37,0.985900109,6.087295704
1/13/12,1.95,0.914808802,5.466847826
1/14/12,1.9,1.445152756,4.87040216
1/15/12,4.48,1.281080338,5.81183267
1/16/12,4.95,1.926876068,5.062217887
1/17/12,4.29,1.750684591,6.004543487
1/18/12,1.3,1.600199412,4.964952971
1/19/12,0.06,1.430704855,3.645093774
1/20/12,30.14,1.54794823,15.95989088
1/21/12,2.36,1.560273245,10.0416452
1/22/12,4.23,1.859644082,7.363386574
1/23/12,0.9,1.774944027,5.980135144
1/24/12,0.83,1.880378891,4.654308368
1/25/12,2.02,1.473832659,4.290810623
1/26/12,3.12,0.917710958,4.216335986
1/27/12,6.34,1.457798019,5.743113631
1/28/12,1.62,1.287600462,6.275345099
1/29/12,3.55,1.617002831,5.26712211
1/30/12,4.41,1.622173718,6.638429335
1/31/12,5.66,1.829987206,7.10669357
2/1/12,5.54,1.702855105,8.227157978
2/2/12,3.61,1.282666008,8.385097208
2/3/12,2.16,0.880288766,7.917408324
2/4/12,5.86,1.004358574,7.862725368
2/5/12,1.4,0.992881786,6.77579013
2/6/12,14.05,0.982917416,11.01781196
2/7/12,3.08,2.218221954,8.37690447
2/8/12,8.5,1.748605154,7.791844333
2/9/12,5.63,2.074558276,9.430666235
2/10/12,2.06,2.387139306,7.241031452
2/11/12,2.61,1.582103478,5.844925717
2/12/12,12.5,1.643956079,9.806311319
2/13/12,1.98,1.804832836,6.894291747
2/14/12,7,1.555912063,7.562436957
2/15/12,2.91,2.187839425,6.280494929
2/16/12,27.96,1.458095503,20.81625699
2/17/12,1.61,3.000761011,8.46687199
2/18/12,9.98,1.764180701,9.481057537
2/19/12,16.01,1.340207879,14.93433612
2/20/12,0.83,1.457902463,9.152439312
2/21/12,1.81,1.931467336,6.314168326
2/22/12,8.86,1.790680237,6.74496413
2/23/12,13.26,1.565774776,10.74255323
2/24/12,0,1.895661159,7.603504363
2/25/12,2.86,1.871703058,5.843891225
2/26/12,9.65,1.696561774,8.038619357
2/27/12,5.68,1.493738587,11.05778929
2/28/12,15.46,1.465058542,17.86131811
2/29/12,1.88,2.13979787,11.62056327
3/1/12,0.24,1.464271201,6.716681829
3/2/12,1.44,0.860010974,5.398327718
3/3/12,4.91,0.741620636,5.946837787
3/4/12,1.11,1.214667593,5.057642985
3/5/12,2.6,1.387244619,4.612483359
3/6/12,0.15,1.498183784,4.038468667
3/7/12,0.37,1.580754076,2.77657752
3/8/12,0.06,0.574733114,2.046426186
3/9/12,2.11,0.834568798,1.809184039
3/10/12,4.41,0.984493357,2.82899884
3/11/12,9.44,1.453937842,5.03465068
3/12/12,6.17,1.488651972,5.298276107
3/13/12,1.14,1.724377905,5.301993889
3/14/12,0.3,1.844593875,3.680452906
3/15/12,3.38,1.140207598,3.372296899
3/16/12,6.66,1.406140008,3.572038997
3/17/12,2.26,1.526807857,3.751474023
3/18/12,1.34,1.716022371,2.847828334
3/19/12,9.75,1.142292491,4.302040942
3/20/12,4.37,1.567208902,5.411726741
3/21/12,4.46,2.050004371,4.6497382
3/22/12,5.74,1.36905588,5.041238217
3/23/12,2.11,2.174549002,4.317456153
3/24/12,11.64,1.94586531,6.971315369
3/25/12,6,2.317786304,5.515014314
3/26/12,3.56,2.532518237,5.150126948
3/27/12,6.97,2.061888281,4.878595484
3/28/12,6.58,1.767421724,6.09410521
3/29/12,3.18,1.195496815,6.262190633
3/30/12,0.98,1.158888174,4.874167403
3/31/12,8.68,1.000313827,6.487691043
4/1/12,3.3,1.029602418,8.671649939
4/2/12,1.17,1.211234692,5.874616384
4/3/12,4.19,1.04637066,5.661048931
4/4/12,7.05,1.544919955,5.717046468
4/5/12,13.27,1.289035464,17.79009576
4/6/12,0.42,1.920976602,6.708930328
4/7/12,3.43,2.339115007,4.822298118
4/8/12,4.2,1.473669503,6.402958775
4/9/12,8.79,1.453031619,8.407978113
4/10/12,0,1.952668558,4.752776772
4/11/12,0,2.114845463,3.111963765
4/12/12,0.97,0.900631644,2.602461074
4/13/12,0,1.139983218,2.095336274
4/14/12,1.46,1.078163352,1.609726061
4/15/12,0.2,0.692567029,1.552856845
4/16/12,0,0.676527285,1.281719551
4/17/12,1.57,0.811413691,1.073492686
4/18/12,1.98,0.788736248,1.373218044
4/19/12,5.5,1.226866713,1.840480997
4/20/12,4.71,1.626837159,7.982066077
4/21/12,0,1.479067295,2.906294749
4/22/12,2.76,1.044390697,2.510671275
4/23/12,1.05,1.040502605,3.297460437
4/24/12,0.86,1.121003232,2.409112181
4/25/12,0,0.775947664,1.97096699
4/26/12,0.2,0.765567894,1.551554443
4/27/12,0.17,0.707541884,1.551563391
4/28/12,0.04,0.637928714,1.198005632
4/29/12,0.06,0.445185703,0.993085149
4/30/12,2.03,0.87538544,1.291165705
5/1/12,2.02,0.531348656,1.679576839
5/2/12,3.23,0.99829313,2.047429124
5/3/12,0.48,0.653062583,3.913078207
5/4/12,0,0.919471597,1.613938136
5/5/12,0.33,0.497760581,1.291827712
5/6/12,2.39,0.435443916,1.761325493
5/7/12,0.33,0.708451736,1.752576991
5/8/12,0,0.311221868,1.307946273
5/9/12,0.08,0.353116789,1.189753524
5/10/12,0.08,0.785171374,1.005996022
5/11/12,0.21,0.661487462,0.787596273
5/12/12,3.61,0.698828492,1.079412517
5/13/12,2.33,0.967646678,1.637167331
5/14/12,1.29,1.017717156,1.619286692
5/15/12,4.18,0.611093621,3.592138618
5/16/12,0.86,0.956481452,2.60161212
5/17/12,5.36,0.821001731,6.181757112
5/18/12,0.75,1.568468542,3.616977479
5/19/12,2.25,1.130237517,3.460463036
5/20/12,0.18,1.221860575,2.426324981
5/21/12,2.56,0.780630344,3.054571593
5/22/12,1.48,0.993836772,2.770532854
5/23/12,0,1.748102234,1.921998536
5/24/12,0,0.723927188,1.549461711
5/25/12,0,0.729289475,1.35024043
5/26/12,0,0.489183016,1.121394411
5/27/12,0.71,0.399974551,1.041378928
5/28/12,0.72,0.173575639,1.31639951
5/29/12,2.78,0.411883173,4.188499124
5/30/12,0,0.5689686,1.961023033
5/31/12,0.4,0.630743511,1.363305607
6/1/12,0.2,0.29302692,1.448285786
6/2/12,2.18,0.394367214,3.639991966
6/3/12,0.06,1.117115086,2.236356903
6/4/12,0,0.972277488,1.54674846
6/5/12,0,0.713729226,1.183384021
6/6/12,0,0.405542012,0.958530715
6/7/12,0.33,0.183335832,0.924308164
6/8/12,0.12,0.277124675,0.95694688
6/9/12,0.26,0.289179192,1.084496931
6/10/12,0,0.174451191,0.853800959
6/11/12,0,0.242874137,0.655401375
6/12/12,0,0.243584276,0.563939119
6/13/12,0,0.148520729,0.491421803
6/14/12,0.02,0.05496082,0.493446485
6/15/12,0.22,0.098492931,0.4802413
6/16/12,0.02,0.121163322,0.444532989
6/17/12,0,0.135502266,0.40944786
6/18/12,0,0.086143051,0.360191902
6/19/12,0.56,0.175720729,0.352775504
6/20/12,0.06,0.148115347,0.339816271
6/21/12,0.62,0.263910348,0.308564602
6/22/12,1.82,0.403411057,0.36108005
6/23/12,6.07,0.50032892,0.512478659
6/24/12,3.9,0.565408474,0.696869599
6/25/12,16.12,0.801276193,3.235930625
6/26/12,7.5,1.009441892,5.553232232
6/27/12,4.54,0.898484858,2.546012713
6/28/12,2.74,0.659560467,2.387273559
6/29/12,9.67,0.920229383,4.395399691
6/30/12,2.7,1.508302246,3.580468366
7/1/12,5.22,0.874234477,3.221418635
7/2/12,1.13,1.050297848,3.121557791
7/3/12,0.17,0.849172748,2.078881799
7/4/12,5.82,0.777003983,2.604221978
7/5/12,0,0.981657167,2.055656419
7/6/12,0,1.034225615,1.486025611
7/7/12,1.4,0.57509186,1.297813064
7/8/12,0.75,0.671080099,1.225572052
7/9/12,1.26,0.962169422,1.082925039
7/10/12,0.64,1.047660938,1.031163144
7/11/12,0,1.573445713,0.784374053
7/12/12,0,1.268756739,0.635376713
7/13/12,0,0.77284775,0.576236124
7/14/12,0,0.250896705,0.55210791
7/15/12,0,0.210798034,0.543782816
7/16/12,0.59,0.288089857,0.522756071
7/17/12,0.13,0.260616937,0.504853374
7/18/12,9.27,0.677903323,1.478987494
7/19/12,0.39,0.485256397,1.95109322
7/20/12,0,1.906477407,0.795189033
7/21/12,0,1.381377445,0.546979503
7/22/12,1.53,0.756079041,0.512216353
7/23/12,5.4,0.523659585,0.888747614
7/24/12,0.06,1.171287292,0.908757906
7/25/12,0.3,0.907564915,0.561803927
7/26/12,0.13,1.29355987,0.330267776
7/27/12,0.89,0.618205188,0.312380074
7/28/12,8.86,0.585624317,0.933120412
7/29/12,3.12,0.746254246,0.875120917
7/30/12,0.11,1.511107596,0.68740494
7/31/12,0.42,0.74741205,0.549801975
8/1/12,0.13,0.850411632,0.503446165
8/2/12,0,1.571357141,0.399725094
8/3/12,9.07,2.493950781,0.499448554
8/4/12,0.06,1.772820953,0.577996665
8/5/12,1.3,1.086661854,0.363368686
8/6/12,0,1.271243533,0.354682435
8/7/12,0,1.088885134,0.259800648
8/8/12,0,0.710344077,0.200920817
8/9/12,0,0.351224144,0.236734709
8/10/12,0,0.158367438,0.270876815
8/11/12,0,0.127213343,0.226913706
8/12/12,0,0.116677501,0.186619789
8/13/12,3.33,0.321673672,0.164417403
8/14/12,1.07,0.51634112,0.190477688
8/15/12,4.06,0.685830459,0.275680195
8/16/12,0.82,0.73650777,0.231751034
8/17/12,0.58,0.786227325,0.297490495
8/18/12,5.21,1.155895832,0.379228959
8/19/12,0,1.438959075,0.383916724
